,Unnamed: 0,name,city,country,iata_code,latitude,longitude,links_count
38,38,Jiangbei,Chongqing,China,CKG,29.719217,106.641678,540
39,39,Indira Gandhi Intl,Délhi,Índia,DEL,28.5665,77.103088,527
40,40,Taoyuan Intl,Taipei,Taiwan,TPE,25.077731,121.232822,527
41,41,Kuala Lumpur Intl,Kuala Lumpur,Malásia,KUL,2.745578,101.709917,514
42,42,Phoenix Sky Harbor Intl,Fénix,Estados Unidos,PHX,33.434278,-112.011583,508
43,43,Xiaoshan,Hangzhou,China,HGH,30.229503,120.434453,506
44,44,Newark Liberty Intl,Newark,Estados Unidos,EWR,40.6925,-74.168667,505
45,45,San Francisco Intl,São Francisco,Estados Unidos,SFO,37.618972,-122.374889,499
46,46,Mc Carran Intl,Las Vegas,Estados Unidos,LAS,36.080056,-115.15225,498
47,47,Zurich,Zurique,Suíça,ZRH,47.464722,8.549167,494
48,48,George Bush Intercontinental,Houston,Estados Unidos,IAH,29.984433,-95.341442,485
49,49,Licenciado Benito Juarez Intl,Cidade do México,México,MEX,19.436303,-99.072097,485
50,50,Abu Dhabi Intl,Abu Dabi,Emirados Árabes Unidos,AUH,24.432972,54.651138,477
51,51,Orlando Intl,Orlando,Estados Unidos,MCO,28.429394,-81.308994,475
52,52,Baoan Intl,Shenzhen,China,SZX,22.639258,113.810664,467
53,53,Gaoqi,Xiamen,China,XMN,24.544036,118.127739,466
54,54,Kastrup,Copenhague,Dinamarca,CPH,55.617917,12.655972,457
55,55,Chhatrapati Shivaji Intl,Bombaim,Índia,BOM,19.088686,72.867919,452
56,56,Arlanda,Estocolmo,Suécia,ARN,59.651944,17.918611,439
57,57,Lisboa,Lisboa,Portugal,LIS,38.781311,-9.135919,435
58,58,Detroit Metro Wayne Co,Detroit,Estados Unidos,DTW,42.212444,-83.353389,433
59,59,Minneapolis St Paul Intl,Mineápolis,Estados Unidos,MSP,44.881956,-93.221767,430
60,60,General Edward Lawrence Logan Intl,Boston,Estados Unidos,BOS,42.364347,-71.005181,424
61,61,Tegel,Berlim,Alemanha,TXL,52.559686,13.287711,418
62,62,Dublin,Dublin,Irlanda,DUB,53.421333,-6.270075,414
63,63,Hongqiao Intl,Xangai,China,SHA,31.197875,121.336319,411
64,64,Sydney Intl,Sidney,Austrália,SYD,-33.946111,151.177222,410
65,65,Malaga,málaga,Espanha,AGP,36.6749,-4.499106,410
66,66,Orly,Paris,França,ORY,48.725278,2.359444,404
67,67,Eleftherios Venizelos Intl,Atenas,Grécia,ATH,37.936358,23.944467,403
68,68,Seattle Tacoma Intl,Seattle,Estados Unidos,SEA,47.449,-122.309306,403
69,69,Sheremetyevo,Moscou,Rússia,SVO,55.972642,37.414589,397
70,70,Ronald Reagan Washington Natl,Washington,Estados Unidos,DCA,38.852083,-77.037722,388
71,71,Guarulhos Gov Andre Franco Montouro,São Paulo,Brasil,GRU,-23.432075,-46.469511,387
72,72,Washington Dulles Intl,Washington,Estados Unidos,IAD,38.944533,-77.455811,386
73,73,Ninoy Aquino Intl,Manila,Filipinas,MNL,14.508647,121.019581,386
74,74,Malpensa,Milão,Itália,MXP,45.630606,8.728111,386
75,75,Huanghua,Changcha,China,CSX,28.189158,113.219633,377
76,76,Doha Intl,Doha,Catar,DOH,25.261125,51.565056,377
77,77,King Abdulaziz Intl,Jidá,Arábia Saudita,JED,21.679564,39.156536,377
78,78,Liuting,Qingdao,China,TAO,36.266108,120.374436,376
79,79,Fort Lauderdale Hollywood Intl,Fort Lauderdale,Estados Unidos,FLL,26.072583,-80.15275,374
80,80,Tianhe,Wuhan,China,WUH,30.783758,114.2081,374
81,81,Pierre Elliott Trudeau Intl,Montréal,Canadá,YUL,45.470556,-73.740833,371
82,82,Pulkovo,São Petersburgo,Rússia,LED,59.800292,30.262503,368
83,83,Soekarno Hatta Intl,Jacarta,Indonésia,CGK,-6.125567,106.655897,367
84,84,Gardermoen,Oslo,Noruega,OSL,60.193917,11.100361,363
85,85,Ruzyne,Praga,República Checa,PRG,50.100833,14.26,361
86,86,Xinzheng,Zhengzhou,China,CGO,34.519672,113.840889,348
87,87,Stansted,Londres,Reino Unido,STN,51.885,0.235,343
88,88,Lukou,Nanquim,China,NKG,31.742042,118.862025,330
89,89,Geneve Cointrin,Genebra,Suíça,GVA,46.238064,6.10895,329
90,90,Johannesburg Intl,Joanesburgo,África do Sul,JNB,-26.139166,28.246,321
91,91,Hamburg,Hamburgo,Alemanha,HAM,53.630389,9.988228,321
92,92,Helsinki Vantaa,Helsínquia,Finlândia,HEL,60.317222,24.963333,320
93,93,Tenerife Sur,Tenerife,Espanha,TFS,28.044475,-16.572489,318
94,94,La Guardia,Nova Iorque,Estados Unidos,LGA,40.777245,-73.872608,316
95,95,Tokyo Intl,Tóquio,Japão,HND,35.552258,139.779694,315
96,96,Vancouver Intl,Vancouver,Canadá,YVR,49.193889,-123.184444,315
97,97,Alicante,Alicante,Espanha,ALC,38.282169,-0.558156,314
98,98,Cancun Intl,Cancun,México,CUN,21.036528,-86.877083,311
99,99,Gran Canaria,Grã-Canária,Espanha,LPA,27.931886,-15.386586,308
100,100,Eldorado Intl,Bogotá,Colômbia,BOG,4.701594,-74.146947,307
101,101,Diwopu,Urumqi,China,URC,43.907106,87.474244,306
102,102,Kansai,Osaca,Japão,KIX,34.4347222,135.244167,304
103,103,Cairo Intl,Cairo,Egito,CAI,30.121944,31.405556,303
104,104,Brisbane Intl,Brisbane,Austrália,BNE,-27.384167,153.1175,296
105,105,Binhai,Tianjin,China,TSN,39.124353,117.346183,294
106,106,Sabiha Gokcen,Istambul,Peru,SAW,40.898553,29.309219,290
107,107,Baltimore Washington Intl,Baltimore,Estados Unidos,BWI,39.175361,-76.668333,286
108,108,Zhoushuizi,Dalian,China,DLC,38.965667,121.5386,285
109,109,Salt Lake City Intl,Cidade do Lago Salgado,Estados Unidos,SLC,40.788389,-111.977772,278
110,110,Tampa Intl,Tampa,Estados Unidos,TPA,27.975472,-82.53325,276
111,111,King Khaled Intl,Riad,Arábia Saudita,RUH,24.95764,46.698776,276
112,112,Saint Exupery,Lyon,França,LYS,45.726387,5.090833,275
113,113,Longdongbao,Guiyang,China,KWE,26.538522,106.800703,274
114,114,Stuttgart,Estugarda,Alemanha,STR,48.689878,9.221964,273
115,115,Shenyang Taoxian International Airport,Shenyang,China,SHE,41.3824,123.2901,272
116,116,Chicago Midway Intl,Chicago,Estados Unidos,MDW,41.785972,-87.752417,271
117,117,Ben Gurion,Tel Aviv,Israel,TLV,32.011389,34.886667,271
118,118,Jinan,Jinan,China,TNA,36.857214,117.215992,270
119,119,Melbourne Intl,Melbourne,Austrália,MEL,-37.673333,144.843333,269
120,120,Cote D\\'Azur,Legal,França,NCE,43.658411,7.215872,269
121,121,Changle,Fuzhou,China,FOC,25.935064,119.663272,266
122,122,Koln Bonn,Colônia,Alemanha,CGN,50.865917,7.142744,265
123,123,Provence,Marselha,França,MRS,43.435555,5.213611,265
124,124,Birmingham,Birmingham,Reino Unido,BHX,52.453856,-1.748028,264
125,125,Taiping,Harbin,China,HRB,45.623403,126.250328,259
126,126,Jomo Kenyatta International,Nairóbi,Quênia,NBO,-1.319167,36.9275,258
127,127,Antalya,Antália,Peru,AYT,36.898731,30.800461,253
128,128,Mohammed V Intl,Casablanca,Marrocos,CMN,33.367467,-7.589967,250
129,129,Louis Armstrong New Orleans Intl,Nova Orleans,Estados Unidos,MSY,29.993389,-90.258028,248
130,130,Venezia Tessera,Veneza,Itália,VCE,45.505278,12.351944,245
131,131,Okecie,Varsóvia,Polônia,WAW,52.16575,20.967122,240
132,132,Kuwait Intl,Kuwait,Kuwait,KWI,29.226567,47.968928,239
133,133,San Diego Intl,São Diego,Estados Unidos,SAN,32.733556,-117.189667,238
134,134,Edinburgh,Edimburgo,Reino Unido,EDI,55.95,-3.3725,237
135,135,Honolulu Intl,Honolulu,Estados Unidos,HNL,21.318681,-157.922428,233
136,136,Catania Fontanarossa,Catânia,Itália,CTA,37.466781,15.0664,233
137,137,Lanzarote,Las Palmas,Espanha,ACE,28.945464,-13.605225,233
138,138,Portland Intl,Portland,Estados Unidos,PDX,45.588722,-122.5975,230
139,139,Jorge Chavez Intl,Lima,Peru,LIM,-12.021889,-77.114319,230
140,140,Wuxu,Nanning,China,NNG,22.608267,108.172442,228
141,141,Calgary Intl,Calgary,Canadá,YYC,51.113888,-114.020278,228
142,142,Henri Coanda,Bucareste,Romênia,OTP,44.572161,26.102178,227
143,143,Luqa,Malta,Malta,MLA,35.857497,14.4775,226
144,144,Queen Alia Intl,Amã,Jordânia,AMM,31.722556,35.993214,223
145,145,Lambert St Louis Intl,São Luís,Estados Unidos,STL,38.748697,-90.370028,221
146,146,Wusu,Taiyuan,China,TYN,37.746897,112.628428,220
147,147,Nikos Kazantzakis,Iráclio,Grécia,HER,35.339719,25.180297,219
148,148,Phoenix International,Sanya,China,SYX,18.302897,109.412272,218
149,149,Tansonnhat Intl,Cidade de Ho Chi Minh,Vietnã,SGN,10.818797,106.651856,218
150,150,Meilan,Haikou,China,HAK,19.934856,110.458961,215
151,151,Luton,Londres,Reino Unido,LTN,51.874722,-0.3683329999999999,214
152,152,Liangjiang,Guilin,China,KWL,25.218106,110.039197,214
153,153,Bole Intl,Adis Abeba,Etiópia,ADD,8.977889,38.799319,214
154,154,Auckland Intl,Auckland,Nova Zelândia,AKL,-37.008056,174.791667,213
155,155,Tocumen Intl,cidade do Panamá,Panamá,PTY,9.071364,-79.383453,212
156,156,Chennai Intl,Madras,Índia,MAA,12.994414,80.180517,211
157,157,Faro,Faro,Portugal,FAO,37.014425,-7.965911,211
158,158,Seeb Intl,Mascate,Omã,MCT,23.593278,58.284444,208
159,159,Luis Munoz Marin Intl,São João,Porto Rico,SJU,18.439417,-66.001833,204
160,160,Bandaranaike Intl Colombo,Colombo,Sri Lanka,CMB,7.180756,79.884117,203
161,161,Riga Intl,Riga,Letônia,RIX,56.923611,23.971111,202
162,162,Boryspil Intl,Kiev,Ucrânia,KBP,50.345,30.894722,202
163,163,Porto,Porto,Portugal,OPO,41.248055,-8.681389,202
164,164,Ibiza,Ibiza,Espanha,IBZ,38.872858,1.373117,202
165,165,Bali Ngurah Rai,Dempassar,Indonésia,DPS,-8.748169,115.167172,201
166,166,Bristol,Bristol,Reino Unido,BRS,51.382669,-2.719089,200
167,167,Koltsovo,Ecaterimburgo,Rússia,SVX,56.743108,60.802728,199
168,168,Presidente Juscelino Kubitschek,Brasília,Brasil,BSB,-15.8711,-47.918625,197
169,169,Glasgow,Glasgow,Reino Unido,GLA,55.871944,-4.433056,196
170,170,Bangalore,Bangalore,Índia,BLR,12.949986,77.668206,195
171,171,Sharjah Intl,Xarja,Emirados Árabes Unidos,SHJ,25.328575,55.51715,195
172,172,Ferihegy,Budapeste,Hungria,BUD,47.436933,19.255592,195
173,173,Netaji Subhash Chandra Bose Intl,Calcutá,Índia,CCU,22.654739,88.446722,194
174,174,Galeao Antonio Carlos Jobim,Rio de Janeiro,Brasil,GIG,-22.808903,-43.243647,194
175,175,Nottingham East Midlands,East Midlands,Reino Unido,EMA,52.831111,-1.328056,192
176,176,Fuerteventura,Fuerteventura,Espanha,FUE,28.452717,-13.863761,192
177,177,Larnaca,Lárnaca,Chipre,LCA,34.875117,33.62485,190
178,178,EuroAirport Basel-Mulhouse-Freiburg,Basileia,Suíça,BSL,47.59,7.529167,189
179,179,Don Miguel Hidalgo Y Costilla Intl,Guadalajara,México,GDL,20.5218,-103.311167,185
180,180,Nantes Atlantique,Nantes,França,NTE,47.153189,-1.610725,183
181,181,Perth Intl,Perth,Austrália,PER,-31.940278,115.966944,182
182,182,Simon Bolivar Intl,Caracas,Venezuela,CCS,10.603117,-66.990583,181
183,183,Tolmachevo,Novosibirsk,Rússia,OVB,55.012622,82.650656,177
184,184,Houari Boumediene,Argel,Argélia,ALG,36.691014,3.215408,176
185,185,Bologna,Bolonha,Itália,BLQ,44.535444,11.288667,176
186,186,Carthage,Tunes,Tunísia,TUN,36.851033,10.227217,175
187,187,Baita Airport,Hohhot,China,HET,40.851422,111.824103,174
188,188,Noibai Intl,Hanói,Vietnã,HAN,21.221192,105.807178,174
189,189,Makedonia,Salónica,Grécia,SKG,40.519725,22.97095,174
190,190,Changbei Intl,Nanchang,China,KHN,28.865,115.9,172
191,191,Vnukovo,Moscou,Rússia,VKO,55.591531,37.261486,171
192,192,Beograd,Belgrado,Sérvia,BEG,44.818444,20.309139,171
193,193,Fukuoka,Fukuoka,Japão,FUK,33.585942,130.450686,170
194,194,Bahrain Intl,Bahrein,Bahrein,BAH,26.270834,50.63361,170
195,195,Chubu Centrair Intl,Nagoya,Japão,NGO,34.858414,136.805408,169
196,196,Lanzhou Airport,Lanzhou,China,LHW,36.117,103.617,168
197,197,Lishe,Ninbo,China,NGB,29.826683,121.461906,168
198,198,Brussels South,Charleroi,Bélgica,CRL,50.459197,4.453817,168
199,199,Rhodes Diagoras,Rodes,Grécia,RHO,36.405419,28.086192,168
200,200,Austin Bergstrom Intl,Austin,Estados Unidos,AUS,30.194528,-97.669889,167
201,201,Raleigh Durham Intl,Raleigh-durham,Estados Unidos,RDU,35.877639,-78.787472,167
202,202,Newcastle,Newcastle,Reino Unido,NCL,55.0375,-1.6916669999999998,165
203,203,Schonefeld,Berlim,Alemanha,SXF,52.380001,13.5225,165
204,204,Shijiazhuang Daguocun International Airport,Shijiazhuang,China,SJW,38.280686,114.6973,164
205,205,Nashville Intl,Nashville,Estados Unidos,BNA,36.124472,-86.678194,164
206,206,King Fahd Intl,Droga,Arábia Saudita,DMM,26.471161,49.79789,164
207,207,Valencia,Valência,Espanha,VLC,39.489314,-0.4816249999999999,163
208,208,Wenzhou Yongqiang Airport,Wenzhou,China,WNZ,27.9122,120.852,162
209,209,New Chitose,Sapporo,Japão,CTS,42.7752,141.692283,162
210,210,Bergamo Orio Al Serio,Bérgamo,Itália,BGY,45.673889,9.704166,162
211,211,Cleveland Hopkins Intl,Cleveland,Estados Unidos,CLE,41.411689,-81.849794,161
212,212,Blagnac,Toulouse,França,TLS,43.629075,1.363819,161
213,213,Beijing Nanyuan Airport,Pequim,China,NAY,39.7825,116.387778,160
214,214,Leeds Bradford,Leeds,Reino Unido,LBA,53.865897,-1.660569,160
215,215,Yuzhny,Tashkent,Uzbequistão,TAS,41.257861,69.281186,160
216,216,Gimhae Intl,Busan,Coreia do Sul,PUS,35.179528,128.938222,160
217,217,Kansas City Intl,Cidade de Kansas,Estados Unidos,MCI,39.297606,-94.713905,159
218,218,Macau Intl,Macau,Macau,MFM,22.149556,113.591558,158
219,219,Arturo Merino Benitez Intl,Santiago,Chile,SCL,-33.392975,-70.785803,158
220,220,Capodichino,Nápoles,Itália,NAP,40.886033,14.290781,158
221,221,Luogang,Hefei,China,HFE,31.780019,117.298436,154
222,222,Hannover,Hanôver,Alemanha,HAJ,52.461056,9.685078,152
223,223,Pisa,Pisa,Itália,PSA,43.683917,10.39275,152
224,224,Cincinnati Northern Kentucky Intl,Cincinnati,Estados Unidos,CVG,39.048836,-84.667822,150
225,225,Ministro Pistarini,Buenos Aires,Argentina,EZE,-34.822222,-58.535833,149
226,226,William P Hobby,Houston,Estados Unidos,HOU,29.645419,-95.278889,149
227,227,Juan Santamaria Intl,São José,Costa Rica,SJO,9.993861,-84.208806,149
228,228,Pittsburgh Intl,Pitsburgo,Estados Unidos,PIT,40.491467,-80.232872,148
229,229,Zia Intl,Daca,Bangladesh,DAC,23.843333,90.397781,148
230,230,Hyderabad,Hyderabad,Índia,HYD,17.453117,78.467586,147
231,231,General Mariano Escobedo Intl,Monterrei,México,MTY,25.778489,-100.106878,145
232,232,Menara,Marraquexe,Marrocos,RAK,31.606886,-8.0363,145
233,233,Punta Cana Intl,Punta Cana,República Dominicana,PUJ,18.567367,-68.363431,143
234,234,Luxembourg,Luxemburgo,Luxemburgo,LUX,49.626575,6.211517,140
235,235,Edmonton Intl,Edmonton,Canadá,YEG,53.309723,-113.579722,139
236,236,Indianapolis Intl,Indianápolis,Estados Unidos,IND,39.717331,-86.294383,138
237,237,Phuket Intl,Phuket,Tailândia,HKT,8.1132,98.316872,138
238,238,Flesland,Bergen,Noruega,BGO,60.293386,5.218142,137
239,239,San Antonio Intl,Santo António,Estados Unidos,SAT,29.533694,-98.469778,136
240,240,Eindhoven,Eindhoven,Holanda,EIN,51.450139,5.374528,135
241,241,Lynden Pindling Intl,Nassau,Bahamas,NAS,25.038958,-77.466231,135
242,242,Don Muang Intl,Bangkok,Tailândia,DMK,13.912583,100.60675,134
243,243,Almaty,Alma-ata,Cazaquistão,ALA,43.352072,77.040508,134
244,244,Merignac,Bordéus,França,BOD,44.828335,-0.715556,134
245,245,Leopold Sedar Senghor Intl,Dacar,Senegal,DKR,14.739708,-17.490225,134
246,246,Rafic Hariri Intl,Beirute,Líbano,BEY,33.820931,35.488389,133
247,247,Adnan Menderes,Esmirna,Peru,ADB,38.292392,27.156953,133
248,248,Sofia,Sofia,Bulgária,SOF,42.695194,23.406167,132
249,249,Changchun,Changchun,China,CGQ,43.5412,125.1201,131
250,250,Yinchuan,Yinchuan,China,INC,38.481944,106.009167,131
251,251,Juanda,Surabaia,Indonésia,SUB,-7.379831,112.786858,131
252,252,Lijiang Airport,Lijiang,China,LJG,26.883333,100.23333,129
253,253,Kaohsiung Intl,Kaohsiung,Taiwan,KHH,22.577094,120.350006,129
254,254,City,Londres,Reino Unido,LCY,51.505278,0.055278,128
255,255,Mashhad,Mashad,Irã,MHD,36.234,59.643,128
256,256,Southwest Florida Intl,Fort Myers,Estados Unidos,RSW,26.536167,-81.755167,128
257,257,Port Columbus Intl,Colombo,Estados Unidos,CMH,39.997972,-82.891889,128
258,258,Heydar Aliyev,Bacu,Azerbaijão,GYD,40.4675,50.046667,128
259,259,Aeroparque Jorge Newbery,Buenos Aires,Argentina,AEP,-34.559175,-58.415606,128
260,260,Bilbao,Bilbau,Espanha,BIO,43.301097,-2.910608,128
261,261,Sevilla,Sevilha,Espanha,SVQ,37.418,-5.893106,127
262,262,Palermo,Palermo,Itália,PMO,38.175958,13.091019,126
263,263,General Mitchell Intl,Milwaukee,Estados Unidos,MKE,42.947222,-87.896583,125
264,264,Jinnah Intl,Carachi,Paquistão,KHI,24.906547,67.160797,125
265,265,Mehrabad Intl,Teerã,Irã,THR,35.689167,51.313416,125
266,266,Naha,Okinawa,Japão,OKA,26.195814,127.645869,123
267,267,Imam Khomeini,Teerã,Irã,IKA,35.416111,51.152222,122
268,268,Dubrovnik,Dubrovnik,Croácia,DBV,42.561353,18.268244,121
269,269,Norman Y Mineta San Jose Intl,São José,Estados Unidos,SJC,37.3626,-121.929022,120
270,270,Linate,Milão,Itália,LIN,45.445103,9.276739,120
271,271,Tille,Beauvais,França,BVA,49.454444,2.112778,120
272,272,Zhuhai Airport,Zhuhai,China,ZUH,22.0064,113.376,119
273,273,Murtala Muhammed,Lagos,Nigéria,LOS,6.577369,3.321156,119
274,274,Ted Stevens Anchorage Intl,Ancoragem,Estados Unidos,ANC,61.174361,-149.996361,118
275,275,Cochin,Cochim,Índia,COK,10.155556,76.391389,118
276,276,Jeju Intl,Cheju,Coreia do Sul,CJU,33.511306,126.493028,118
277,277,Chaklala,Islamabade,Paquistão,ISB,33.616653,73.099233,117
278,278,Liverpool,Liverpool,Reino Unido,LPL,53.333611,-2.849722,116
279,279,Vilnius Intl,Vilnius,Lituânia,VNO,54.634133,25.285767,116
280,280,Deputado Luis Eduardo Magalhaes,salvador,Brasil,SSA,-12.910994,-38.331044,116
281,281,Dalaman,Dalaman,Peru,DLM,36.713056,28.7925,116
282,282,Balice,Cracóvia,Polônia,KRK,50.077731,19.784836,114
283,283,Princess Juliana Intl,Philipsburg,Antilhas Holandesas,SXM,18.040953,-63.1089,114
284,284,Viracopos,Campinas,Brasil,VCP,-23.0075,-47.134444,114
285,285,Memphis Intl,Mênfis,Estados Unidos,MEM,35.042417,-89.976667,112
286,286,Laishan,Yantai,China,YNT,37.401667,121.371667,112
287,287,Hasanuddin,Ujung Pandang,Indonésia,UPG,-5.061631,119.554042,112
288,288,Metropolitan Oakland Intl,Oakland,Estados Unidos,OAK,37.721278,-122.220722,111
289,289,Allama Iqbal Intl,Lahore,Paquistão,LHE,31.521564,74.403594,111
290,290,Cairns Intl,Cairns,Austrália,CNS,-16.885833,145.755278,110
291,291,Tancredo Neves Intl,Belo Horizonte,Brasil,CNF,-19.63375,-43.968856,110
292,292,Sacramento Intl,Sacramento,Estados Unidos,SMF,38.695417,-121.590778,108
293,293,Minsk 2,Minsk 2,Bielorrússia,MSQ,53.882469,28.030731,108
294,294,Kotoka Intl,Acra,Gana,ACC,5.605186,-0.166786,107
295,295,Landvetter,Gotemburgo,Suécia,GOT,57.662836,12.279819,106
296,296,Sola,Stavanger,Noruega,SVG,58.876778,5.637856,106
297,297,Dushanbe,Duchambé,Tadjiquistão,DYU,38.543333,68.825,106
298,298,Firenze,Florença,Itália,FLR,43.809953,11.2051,106
299,299,El Salvador Intl,são Salvador,El Salvador,SAL,13.440947,-89.055728,105
300,300,Esenboga,Ancara,Peru,ESB,40.128082,32.995083,105
301,301,Madeira,Funchal,Portugal,FNC,32.697889,-16.774453,104
302,302,Kota Kinabalu Intl,Kota Kinabalu,Malásia,BKI,5.937208,116.051181,104
303,303,Astana Intl,Tselinogrado,Cazaquistão,TSE,51.022222,71.466944,104
304,304,Olbia Costa Smeralda,Ólbia,Itália,OLB,40.898661,9.517628,104
305,305,Bradley Intl,Fechaduras Windsor,Estados Unidos,BDL,41.938889,-72.683222,103
306,306,Ioannis Kapodistrias Intl,Kerkyra/Corfu,Grécia,CFU,39.601944,19.911667,103
307,307,Port Moresby Jacksons Intl,Porto Moresby,Papua Nova Guiné,POM,-9.443383,147.22005,102
308,308,Adelaide Intl,Adelaide,Austrália,ADL,-34.945,138.530556,102
309,309,Abidjan Felix Houphouet Boigny Intl,Abidjan,Costa do Marfim,ABJ,5.261386,-3.926294,102
310,310,Lech Walesa,Gdańsk,Polônia,GDN,54.377569,18.466222,101
311,311,Los Cabos Intl,São José Del Cabo,México,SJD,23.15185,-109.721044,101
312,312,Neuenland,Brema,Alemanha,BRE,53.0475,8.786667,100
313,313,Ciampino,Roma,Itália,CIA,41.799361,12.594936,100
314,314,Bari,Bari,Itália,BRI,41.138856,16.760594,100
315,315,Xining Caojiabu Airport,Xining,China,XNN,36.5275,102.043,99
316,316,Yangon Intl,Rangum,Birmânia,RGN,16.907305,96.133222,99
317,317,Douala,Douala,Camarões,DLA,4.006081,9.719481,98
318,318,Prince Mohammad Bin Abdulaziz,Medina,Arábia Saudita,MED,24.553422,39.705061,98
319,319,Girona,Girona,Espanha,GRO,41.900969,2.760547,98
320,320,Mactan Cebu Intl,Cebu,Filipinas,CEB,10.307542,123.979439,97
321,321,Orlando Sanford Intl,Sanford,Estados Unidos,SFB,28.777639,-81.237489,97
322,322,Split,Dividir,Croácia,SPU,43.538944,16.297964,97
323,323,Halifax Intl,Halifax,Canadá,YHZ,44.880833,-63.50861,95
324,324,Chiang Mai Intl,Chiang Mai,Tailândia,CNX,18.766847,98.962644,95
325,325,Nurnberg,Nuremberga,Alemanha,NUE,49.4987,11.066897,95
326,326,Tripoli Intl,Trípoli,Líbia,TIP,32.663544,13.159011,95
327,327,Wuxi Airport,Wuxi,China,WUX,31.4944,120.429,94
328,328,Billund,Billund,Dinamarca,BLL,55.740322,9.151778,94
329,329,Frankfurt Hahn,Hahn,Alemanha,HHN,49.948672,7.263892,94
330,330,Congonhas,São Paulo,Brasil,CGH,-23.626692,-46.655375,94
331,331,Las Americas Intl,Santo Domingo,República Dominicana,SDQ,18.429664,-69.668925,93
332,332,Luanda 4 De Fevereiro,Luanda,Angola,LAD,-8.858375,13.231178,92
333,333,Dubai Al Maktoum,Dubai,Emirados Árabes Unidos,DWC,24.55056,55.103174,92
334,334,Emelyanovo,Krasnoiarsk,Rússia,KJA,56.18,92.475,92
335,335,Licenciado Gustavo Diaz Ordaz Intl,Puerto Vallarta,México,PVR,20.680083,-105.254167,92
336,336,Jacksonville Intl,Jacksonville,Estados Unidos,JAX,30.494056,-81.687861,91
337,337,Pashkovskiy,Krasnodar,Rússia,KRR,45.034689,39.170539,91
338,338,Keflavik International Airport,Keflavík,Islândia,KEF,63.985,-22.605556,91
339,339,Enfidha - Zine El Abidine Ben Ali International Airport,Enfidha,Tunísia,NBE,36.075833,10.438611,90
340,340,Darwin Intl,Darwin,Austrália,DRW,-12.4083333,130.87266,90
341,341,Zvartnots,Erevan,Armênia,EVN,40.147275,44.395881,90
